country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Andaman and Nicobar,0,761084,761084,761084,2229,1415,1897,1649,213,3566,832,801,1741,844,780,99,771,542,1808,78,183,308,121,197,1423,136,102,98
India,Andaman and Nicobar,10,761084,690589,687885,2229,1411,1889,1634,212,3545,818,797,1740,840,776,98,696,483,1395,73,163,288,109,166,998,124,87,81
India,Andaman and Nicobar,15,761084,688662,684209,2229,1411,1888,1634,212,3543,818,796,1739,840,775,98,695,481,1384,73,162,288,108,166,990,123,86,80
India,Andaman and Nicobar,20,761084,687428,683262,2229,1411,1887,1632,212,3541,818,795,1738,839,775,98,693,479,1374,73,161,287,108,165,982,123,85,80
India,Andaman and Nicobar,25,761084,686301,681337,2229,1411,1887,1632,212,3540,818,794,1738,839,775,98,693,478,1369,73,161,286,107,164,977,123,85,79
India,Andaman and Nicobar,30,761084,684402,679440,2229,1410,1886,1631,211,3539,818,794,1738,838,775,98,692,476,1358,73,160,285,107,163,965,122,85,79
India,Andaman and Nicobar,50,761084,675930,665409,2229,1406,1875,1626,210,3513,813,780,1732,831,769,98,682,467,1297,72,156,281,105,156,912,120,82,76
India,Andaman and Nicobar,75,761084,646075,633979,2229,1378,1833,1591,200,3370,789,714,1690,787,725,95,648,448,1119,67,130,250,89,128,702,102,68,61
India,Andhra Pradesh,0,16004980,16004980,16004980,194340,994,874,1895,1596,1484,1899,2414,3719,3191,1265,4392,2378,4271,4068,2320,6048,6735,9999,7316,5461,3298,4346,19578
India,Andhra Pradesh,10,16004980,1716644,1524973,194340,890,739,1645,1396,1267,1561,1955,3051,2756,1086,3558,1541,1597,2459,1460,3120,3450,3456,2627,1888,1129,1627,4272
India,Andhra Pradesh,15,16004980,1498509,1258302,194340,877,725,1604,1367,1244,1523,1912,2977,2685,1065,3465,1483,1456,2296,1376,2905,3247,2964,2397,1730,1046,1508,3914
