country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Andaman and Nicobar,Nicobar Islands,0,172679,172679,172679,205,1240,1502,1409,67,2301,242,75,162,327,357,37,101,0,111,0,0,0,14,44,54,14,30,7
India,Andaman and Nicobar,Nicobar Islands,10,172679,150112,146804,205,1237,1499,1394,66,2284,228,74,162,325,355,37,100,0,106,0,0,0,12,40,46,13,23,6
India,Andaman and Nicobar,Nicobar Islands,15,172679,149461,146205,205,1236,1499,1394,66,2283,228,74,161,325,355,37,100,0,106,0,0,0,12,40,45,12,22,6
India,Andaman and Nicobar,Nicobar Islands,20,172679,149054,145955,205,1236,1499,1393,66,2283,228,74,161,325,355,37,100,0,106,0,0,0,12,39,44,12,21,6
India,Andaman and Nicobar,Nicobar Islands,25,172679,148547,145598,205,1236,1499,1392,66,2282,228,74,161,325,355,37,100,0,106,0,0,0,12,39,44,12,21,6
India,Andaman and Nicobar,Nicobar Islands,30,172679,147634,144925,205,1236,1499,1391,66,2281,228,74,161,325,354,37,100,0,105,0,0,0,12,39,44,12,21,6
India,Andaman and Nicobar,Nicobar Islands,50,172679,144671,141431,205,1233,1498,1389,65,2272,227,74,160,322,352,37,100,0,103,0,0,0,12,37,41,12,20,6
India,Andaman and Nicobar,Nicobar Islands,75,172679,135653,132843,205,1213,1492,1365,62,2206,224,71,152,304,333,36,97,0,91,0,0,0,10,31,34,11,15,5
India,Andaman and Nicobar,North and Middle Andaman,0,340652,340652,340652,651,118,212,160,85,354,487,350,1428,268,200,42,616,187,938,38,88,238,60,70,515,84,40,54
India,Andaman and Nicobar,North and Middle Andaman,10,340652,313179,312908,651,118,209,159,84,353,487,349,1427,268,199,42,554,141,696,37,84,232,58,63,409,79,38,48
